Job;Education;Balance;Loan;;;;;
management;tertiary;less;no;jan;not;low;no;
management;secondary;less;no;may;rarely;low;no;
unemployed;secondary;less;no;may;rarely;low;no;
management;tertiary;enough;no;jul;rarely;low;no;
technician;secondary;less;yes;may;rarely;half;no;
entrepreneur;unknown;enough;no;may;rarely;low;no;
management;tertiary;enough;yes;jul;rarely;low;no;
unemployed;primary;less;yes;jul;not;low;no;
entrepreneur;secondary;rich;no;feb;rarely;low;no;
technician;secondary;middle;no;may;not;low;no;
technician;secondary;enough;no;aug;rarely;low;no;
admin;secondary;middle;no;jun;rarely;half;yes;
technician;secondary;enough;no;jan;rarely;half;no;
self-employed;secondary;enough;no;jan;not;low;no;
technician;secondary;middle;no;apr;not;low;no;
blue-collar;tertiary;enough;no;oct;not;low;no;
admin;secondary;rich;no;may;rarely;low;no;
admin;secondary;less;yes;may;rarely;low;no;
services;secondary;middle;yes;may;rarely;low;no;
management;tertiary;enough;no;oct;rarely;half;yes;
admin;secondary;middle;no;jun;not;low;no;
housemaid;secondary;enough;no;mar;rarely;low;no;
blue-collar;secondary;middle;no;jan;rarely;low;no;
technician;tertiary;enough;no;may;not;low;no;
blue-collar;secondary;middle;yes;jul;not;low;no;
technician;secondary;rich;no;jun;rarely;low;no;
management;tertiary;enough;no;jan;rarely;low;no;
admin;secondary;enough;yes;apr;not;half;no;
admin;secondary;middle;no;jul;not;low;no;
management;tertiary;rich;no;nov;rarely;low;no;
admin;secondary;less;yes;jul;not;low;no;
admin;secondary;rich;yes;jul;rarely;low;no;
admin;secondary;enough;no;may;rarely;low;no;
unknown;unknown;middle;no;jun;not;low;no;
admin;tertiary;less;no;nov;rarely;low;no;
technician;tertiary;enough;yes;feb;rarely;low;no;
services;secondary;less;yes;jul;rarely;low;no;
admin;secondary;rich;no;may;rarely;low;no;
admin;secondary;enough;no;jun;not;low;no;
services;secondary;less;no;jun;rarely;low;no;
self-employed;tertiary;middle;no;jul;rarely;low;no;
admin;tertiary;middle;no;nov;rarely;half;no;
services;secondary;enough;no;feb;not;half;no;
technician;secondary;enough;no;may;rarely;low;no;
retired;secondary;less;no;jun;rarely;low;yes;
blue-collar;primary;less;yes;jul;rarely;low;no;
self-employed;secondary;enough;no;jul;rarely;low;no;
management;tertiary;middle;no;nov;rarely;low;no;
services;secondary;middle;no;jun;rarely;low;no;
student;secondary;rich;no;jun;rarely;low;no;
retired;secondary;enough;no;jul;rarely;low;no;
blue-collar;secondary;rich;no;may;rarely;low;no;
services;secondary;enough;yes;nov;rarely;low;no;
technician;tertiary;middle;no;apr;not;low;no;
retired;secondary;rich;no;apr;not;half;yes;
technician;tertiary;middle;no;may;not;half;no;
technician;secondary;middle;no;aug;rarely;low;no;
technician;tertiary;rich;no;aug;rarely;half;yes;
management;tertiary;middle;no;nov;rarely;low;no;
blue-collar;tertiary;enough;no;apr;not;low;yes;
technician;tertiary;less;no;nov;rarely;low;no;
technician;secondary;middle;yes;jul;not;low;no;
technician;secondary;middle;no;jul;not;low;no;
services;secondary;less;no;feb;not;low;no;
retired;secondary;middle;no;aug;rarely;low;no;
technician;secondary;rich;no;aug;rarely;low;no;
blue-collar;secondary;less;no;jun;rarely;low;no;
technician;tertiary;enough;no;may;rarely;low;no;
self-employed;secondary;rich;no;nov;not;low;no;
management;tertiary;less;no;aug;rarely;low;no;
management;tertiary;enough;no;aug;rarely;low;yes;
technician;secondary;middle;no;aug;rarely;low;no;
blue-collar;secondary;middle;no;may;rarely;half;no;
blue-collar;primary;enough;yes;jul;rarely;low;no;
services;secondary;enough;no;aug;rarely;low;no;
retired;tertiary;less;no;jul;rarely;low;no;
technician;secondary;rich;no;may;rarely;low;no;
blue-collar;primary;enough;no;may;rarely;low;no;
self-employed;primary;enough;no;aug;rarely;low;no;
management;primary;middle;no;nov;not;low;no;
services;secondary;enough;no;may;not;low;no;
technician;secondary;less;no;may;rarely;low;no;
technician;secondary;enough;no;apr;not;low;no;
blue-collar;primary;enough;no;may;not;low;no;
technician;tertiary;less;yes;sep;not;half;no;
unknown;secondary;enough;no;aug;rarely;low;no;
entrepreneur;tertiary;rich;no;jun;rarely;low;no;
technician;secondary;enough;no;may;rarely;high;no;
blue-collar;secondary;less;no;jul;rarely;half;no;
student;secondary;rich;no;jan;not;low;no;
technician;secondary;enough;no;aug;rarely;low;no;
blue-collar;secondary;rich;no;apr;not;half;no;
technician;unknown;enough;no;may;rarely;low;no;
housemaid;primary;rich;no;jun;rarely;low;no;
unemployed;tertiary;middle;no;jul;rarely;low;no;
admin;secondary;enough;no;jul;rarely;low;no;
self-employed;tertiary;rich;no;nov;rarely;low;no;
management;tertiary;rich;no;aug;rarely;low;no;
admin;secondary;less;yes;jun;rarely;low;no;
blue-collar;secondary;middle;no;may;rarely;low;no;
management;tertiary;less;no;jan;not;low;no;
management;secondary;less;no;may;rarely;low;no;
unemployed;secondary;less;no;may;rarely;low;no;
management;tertiary;enough;no;jul;rarely;low;no;
technician;secondary;less;yes;may;rarely;half;no;
entrepreneur;unknown;enough;no;may;rarely;low;no;
management;tertiary;enough;yes;jul;rarely;low;no;
unemployed;primary;less;yes;jul;not;low;no;
entrepreneur;secondary;rich;no;feb;rarely;low;no;
technician;secondary;middle;no;may;not;low;no;
technician;secondary;enough;no;aug;rarely;low;no;
admin;secondary;middle;no;jun;rarely;half;yes;
technician;secondary;enough;no;jan;rarely;half;no;
self-employed;secondary;enough;no;jan;not;low;no;
technician;secondary;middle;no;apr;not;low;no;
blue-collar;tertiary;enough;no;oct;not;low;no;
admin;secondary;rich;no;may;rarely;low;no;
admin;secondary;less;yes;may;rarely;low;no;
services;secondary;middle;yes;may;rarely;low;no;
management;tertiary;enough;no;oct;rarely;half;yes;
admin;secondary;middle;no;jun;not;low;no;
housemaid;secondary;enough;no;mar;rarely;low;no;
blue-collar;secondary;middle;no;jan;rarely;low;no;
technician;tertiary;enough;no;may;not;low;no;
blue-collar;secondary;middle;yes;jul;not;low;no;
technician;secondary;rich;no;jun;rarely;low;no;
management;tertiary;enough;no;jan;rarely;low;no;
admin;secondary;enough;yes;apr;not;half;no;
admin;secondary;middle;no;jul;not;low;no;
management;tertiary;rich;no;nov;rarely;low;no;
admin;secondary;less;yes;jul;not;low;no;
admin;secondary;rich;yes;jul;rarely;low;no;
admin;secondary;enough;no;may;rarely;low;no;
unknown;unknown;middle;no;jun;not;low;no;
admin;tertiary;less;no;nov;rarely;low;no;
technician;tertiary;enough;yes;feb;rarely;low;no;
services;secondary;less;yes;jul;rarely;low;no;
admin;secondary;rich;no;may;rarely;low;no;
admin;secondary;enough;no;jun;not;low;no;
services;secondary;less;no;jun;rarely;low;no;
self-employed;tertiary;middle;no;jul;rarely;low;no;
admin;tertiary;middle;no;nov;rarely;half;no;
services;secondary;enough;no;feb;not;half;no;
technician;secondary;enough;no;may;rarely;low;no;
retired;secondary;less;no;jun;rarely;low;yes;
blue-collar;primary;less;yes;jul;rarely;low;no;
self-employed;secondary;enough;no;jul;rarely;low;no;
management;tertiary;middle;no;nov;rarely;low;no;
services;secondary;middle;no;jun;rarely;low;no;
student;secondary;rich;no;jun;rarely;low;no;
retired;secondary;enough;no;jul;rarely;low;no;
blue-collar;secondary;rich;no;may;rarely;low;no;
services;secondary;enough;yes;nov;rarely;low;no;
technician;tertiary;middle;no;apr;not;low;no;
retired;secondary;rich;no;apr;not;half;yes;
technician;tertiary;middle;no;may;not;half;no;
technician;secondary;middle;no;aug;rarely;low;no;
technician;tertiary;rich;no;aug;rarely;half;yes;
management;tertiary;middle;no;nov;rarely;low;no;
blue-collar;tertiary;enough;no;apr;not;low;yes;
technician;tertiary;less;no;nov;rarely;low;no;
technician;secondary;middle;yes;jul;not;low;no;
technician;secondary;middle;no;jul;not;low;no;
services;secondary;less;no;feb;not;low;no;
retired;secondary;middle;no;aug;rarely;low;no;
technician;secondary;rich;no;aug;rarely;low;no;
blue-collar;secondary;less;no;jun;rarely;low;no;
technician;tertiary;enough;no;may;rarely;low;no;
self-employed;secondary;rich;no;nov;not;low;no;
management;tertiary;less;no;aug;rarely;low;no;
management;tertiary;enough;no;aug;rarely;low;yes;
technician;secondary;middle;no;aug;rarely;low;no;
blue-collar;secondary;middle;no;may;rarely;half;no;
blue-collar;primary;enough;yes;jul;rarely;low;no;
services;secondary;enough;no;aug;rarely;low;no;
retired;tertiary;less;no;jul;rarely;low;no;
technician;secondary;rich;no;may;rarely;low;no;
blue-collar;primary;enough;no;may;rarely;low;no;
self-employed;primary;enough;no;aug;rarely;low;no;
management;primary;middle;no;nov;not;low;no;
services;secondary;enough;no;may;not;low;no;
technician;secondary;less;no;may;rarely;low;no;
technician;secondary;enough;no;apr;not;low;no;
blue-collar;primary;enough;no;may;not;low;no;
technician;tertiary;less;yes;sep;not;half;no;
technician;secondary;middle;no;apr;not;low;no;
blue-collar;tertiary;enough;no;oct;not;low;no;
admin;secondary;rich;no;may;rarely;low;no;
admin;secondary;less;yes;may;rarely;low;no;
services;secondary;middle;yes;may;rarely;low;no;
management;tertiary;enough;no;oct;rarely;half;yes;
admin;secondary;middle;no;jun;not;low;no;
housemaid;secondary;enough;no;mar;rarely;low;no;
blue-collar;secondary;middle;no;jan;rarely;low;no;
technician;tertiary;enough;no;may;not;low;no;
blue-collar;secondary;middle;yes;jul;not;low;no;
technician;secondary;rich;no;jun;rarely;low;no;
management;tertiary;enough;no;jan;rarely;low;no;
admin;secondary;enough;yes;apr;not;half;no;
admin;secondary;middle;no;jul;not;low;no;
management;tertiary;rich;no;nov;rarely;low;no;
admin;secondary;less;yes;jul;not;low;no;
admin;secondary;rich;yes;jul;rarely;low;no;
admin;secondary;enough;no;may;rarely;low;no;
unknown;unknown;middle;no;jun;not;low;no;
admin;tertiary;less;no;nov;rarely;low;no;
technician;tertiary;enough;yes;feb;rarely;low;no;
services;secondary;less;yes;jul;rarely;low;no;
admin;secondary;rich;no;may;rarely;low;no;
admin;secondary;enough;no;jun;not;low;no;
services;secondary;less;no;jun;rarely;low;no;
self-employed;tertiary;middle;no;jul;rarely;low;no;
admin;tertiary;middle;no;nov;rarely;half;no;
services;secondary;enough;no;feb;not;half;no;
technician;secondary;enough;no;may;rarely;low;no;
retired;secondary;less;no;jun;rarely;low;yes;
blue-collar;primary;less;yes;jul;rarely;low;no;
self-employed;secondary;enough;no;jul;rarely;low;no;
management;tertiary;middle;no;nov;rarely;low;no;
services;secondary;middle;no;jun;rarely;low;no;
student;secondary;rich;no;jun;rarely;low;no;
retired;secondary;enough;no;jul;rarely;low;no;
blue-collar;secondary;rich;no;may;rarely;low;no;
services;secondary;enough;yes;nov;rarely;low;no;
technician;tertiary;middle;no;apr;not;low;no;
retired;secondary;rich;no;apr;not;half;yes;
management;tertiary;enough;no;jan;rarely;low;no;
admin;secondary;enough;yes;apr;not;half;no;
admin;secondary;middle;no;jul;not;low;no;
management;tertiary;rich;no;nov;rarely;low;no;
admin;secondary;less;yes;jul;not;low;no;
admin;secondary;rich;yes;jul;rarely;low;no;
admin;secondary;enough;no;may;rarely;low;no;
unknown;unknown;middle;no;jun;not;low;no;
admin;tertiary;less;no;nov;rarely;low;no;
technician;tertiary;enough;yes;feb;rarely;low;no;
services;secondary;less;yes;jul;rarely;low;no;
admin;secondary;rich;no;may;rarely;low;no;
admin;secondary;enough;no;jun;not;low;no;
services;secondary;less;no;jun;rarely;low;no;
self-employed;tertiary;middle;no;jul;rarely;low;no;
admin;tertiary;middle;no;nov;rarely;half;no;
services;secondary;enough;no;feb;not;half;no;
technician;secondary;enough;no;may;rarely;low;no;
retired;secondary;less;no;jun;rarely;low;yes;
blue-collar;primary;less;yes;jul;rarely;low;no;
self-employed;secondary;enough;no;jul;rarely;low;no;
management;tertiary;middle;no;nov;rarely;low;no;
services;secondary;middle;no;jun;rarely;low;no;
student;secondary;rich;no;jun;rarely;low;no;
retired;secondary;enough;no;jul;rarely;low;no;
blue-collar;secondary;rich;no;may;rarely;low;no;
services;secondary;enough;yes;nov;rarely;low;no;
technician;tertiary;middle;no;apr;not;low;no;
retired;secondary;rich;no;apr;not;half;yes;
technician;tertiary;middle;no;may;not;half;no;
technician;secondary;middle;no;aug;rarely;low;no;
technician;tertiary;rich;no;aug;rarely;half;yes;
management;tertiary;middle;no;nov;rarely;low;no;
blue-collar;tertiary;enough;no;apr;not;low;yes;
technician;tertiary;less;no;nov;rarely;low;no;
technician;secondary;middle;yes;jul;not;low;no;
technician;secondary;middle;no;jul;not;low;no;
services;secondary;less;no;feb;not;low;no;
retired;secondary;middle;no;aug;rarely;low;no;
technician;secondary;rich;no;aug;rarely;low;no;
blue-collar;secondary;less;no;jun;rarely;low;no;
technician;tertiary;enough;no;may;rarely;low;no;
self-employed;secondary;rich;no;nov;not;low;no;
management;tertiary;less;no;aug;rarely;low;no;
management;tertiary;enough;no;aug;rarely;low;yes;
technician;secondary;middle;no;aug;rarely;low;no;
blue-collar;secondary;middle;no;may;rarely;half;no;
blue-collar;primary;enough;yes;jul;rarely;low;no;
services;secondary;enough;no;aug;rarely;low;no;
retired;tertiary;less;no;jul;rarely;low;no;
technician;secondary;rich;no;may;rarely;low;no;
blue-collar;primary;enough;no;may;rarely;low;no;
self-employed;primary;enough;no;aug;rarely;low;no;
management;primary;middle;no;nov;not;low;no;
services;secondary;enough;no;may;not;low;no;
technician;secondary;less;no;may;rarely;low;no;
technician;secondary;enough;no;apr;not;low;no;
blue-collar;primary;enough;no;may;not;low;no;
technician;tertiary;less;yes;sep;not;half;no;
unknown;secondary;enough;no;aug;rarely;low;no;
entrepreneur;tertiary;rich;no;jun;rarely;low;no;
technician;secondary;enough;no;may;rarely;high;no;
blue-collar;secondary;less;no;jul;rarely;half;no;
student;secondary;rich;no;jan;not;low;no;
technician;secondary;enough;no;aug;rarely;low;no;
blue-collar;secondary;rich;no;apr;not;half;no;
technician;unknown;enough;no;may;rarely;low;no;
housemaid;primary;rich;no;jun;rarely;low;no;
unemployed;tertiary;middle;no;jul;rarely;low;no;
admin;secondary;enough;no;jul;rarely;low;no;
self-employed;tertiary;rich;no;nov;rarely;low;no;
management;tertiary;rich;no;aug;rarely;low;no;
admin;secondary;less;yes;jun;rarely;low;no;
blue-collar;secondary;middle;no;may;rarely;low;no;
management;tertiary;less;no;jan;not;low;no;
management;secondary;less;no;may;rarely;low;no;
unemployed;secondary;less;no;may;rarely;low;no;
management;tertiary;enough;no;jul;rarely;low;no;
technician;secondary;less;yes;may;rarely;half;no;
management;tertiary;enough;no;feb;rarely;low;no;
management;tertiary;middle;no;aug;rarely;low;no;
blue-collar;primary;enough;yes;jul;rarely;low;no;
retired;primary;rich;no;feb;rarely;half;no;
blue-collar;primary;enough;no;aug;rarely;low;no;
blue-collar;secondary;middle;yes;may;rarely;low;no;
management;tertiary;enough;yes;jul;rarely;low;no;
unemployed;secondary;enough;no;aug;rarely;low;no;
technician;tertiary;rich;no;jul;rarely;low;no;
blue-collar;secondary;enough;yes;jul;rarely;low;yes;
housemaid;secondary;enough;yes;jul;not;low;no;
technician;secondary;less;no;aug;rarely;low;no;
technician;tertiary;rich;no;feb;rarely;low;no;
entrepreneur;tertiary;middle;yes;jul;rarely;low;no;
technician;tertiary;middle;no;aug;not;half;no;
self-employed;secondary;middle;yes;may;not;low;no;
student;secondary;middle;no;may;not;low;no;
technician;tertiary;less;yes;jul;rarely;low;no;
admin;secondary;middle;no;jul;rarely;low;no;
services;secondary;middle;no;jul;rarely;low;no;
services;secondary;less;no;jun;not;half;no;
blue-collar;secondary;enough;yes;may;not;low;yes;
management;secondary;rich;no;jun;rarely;low;no;
self-employed;secondary;middle;no;nov;rarely;low;no;
blue-collar;tertiary;less;no;jul;rarely;low;no;
technician;secondary;enough;no;may;not;low;no;
housemaid;tertiary;rich;no;aug;rarely;low;no;
technician;tertiary;less;no;aug;rarely;low;no;
blue-collar;primary;rich;no;nov;rarely;low;no;
blue-collar;primary;enough;no;may;not;low;no;
self-employed;tertiary;middle;no;may;rarely;low;no;
blue-collar;secondary;middle;no;apr;not;low;no;
blue-collar;secondary;rich;no;jun;not;low;no;
admin;secondary;enough;no;may;rarely;low;no;
student;secondary;enough;no;jun;rarely;low;no;
technician;tertiary;middle;no;may;not;low;no;
admin;secondary;middle;no;jun;rarely;low;no;
self-employed;secondary;less;no;may;rarely;low;no;
management;tertiary;enough;no;jul;rarely;low;no;
admin;tertiary;enough;yes;aug;rarely;half;yes;
blue-collar;primary;rich;no;aug;rarely;low;yes;
blue-collar;secondary;enough;no;may;rarely;low;no;
services;secondary;rich;no;aug;rarely;low;no;
technician;secondary;less;yes;jul;rarely;low;no;
management;tertiary;rich;no;aug;rarely;low;no;
entrepreneur;unknown;less;no;jul;rarely;low;yes;
management;tertiary;enough;no;jan;not;low;no;
blue-collar;primary;less;no;may;not;low;yes;
entrepreneur;secondary;middle;yes;jul;always;low;yes;
blue-collar;secondary;middle;no;apr;rarely;low;yes;
retired;primary;rich;no;may;not;low;no;
retired;primary;middle;no;jun;rarely;half;no;
blue-collar;secondary;enough;no;jul;not;low;no;
blue-collar;secondary;middle;no;jul;rarely;low;no;
management;unknown;enough;yes;jul;rarely;low;no;
technician;secondary;enough;yes;jul;rarely;low;no;
entrepreneur;secondary;middle;no;apr;not;low;yes;
unemployed;primary;middle;yes;may;rarely;low;no;
management;tertiary;rich;no;may;not;low;no;
admin;tertiary;middle;no;nov;rarely;low;no;
blue-collar;secondary;rich;yes;may;rarely;low;no;
management;unknown;middle;no;jan;rarely;low;no;
blue-collar;primary;enough;no;jul;rarely;low;no;
management;tertiary;enough;yes;aug;rarely;low;no;
admin;tertiary;middle;no;may;rarely;half;yes;
blue-collar;primary;middle;no;may;rarely;low;no;
blue-collar;secondary;enough;no;feb;not;low;no;
admin;primary;enough;yes;jun;rarely;low;no;
entrepreneur;secondary;rich;no;may;rarely;half;yes;
unemployed;secondary;middle;no;may;not;low;no;
admin;unknown;middle;no;jun;rarely;low;no;
blue-collar;secondary;less;no;feb;not;low;no;
self-employed;tertiary;enough;yes;jul;rarely;low;no;
management;tertiary;middle;no;aug;not;low;yes;
blue-collar;primary;enough;yes;jun;not;low;no;
technician;secondary;rich;no;nov;not;low;no;
unemployed;secondary;middle;yes;nov;not;low;no;
entrepreneur;tertiary;enough;no;jul;rarely;low;yes;
unemployed;secondary;middle;no;dec;rarely;half;yes;
admin;secondary;middle;no;may;not;low;no;
admin;secondary;enough;no;jul;rarely;low;no;
technician;tertiary;middle;no;apr;rarely;half;no;
admin;secondary;enough;no;jul;rarely;low;no;
services;primary;enough;no;jul;rarely;low;yes;
management;tertiary;enough;no;apr;rarely;low;yes;
management;tertiary;enough;yes;may;not;low;no;
blue-collar;primary;less;no;sep;not;low;no;
management;tertiary;middle;no;feb;not;half;no;
retired;primary;middle;no;oct;not;low;no;
self-employed;primary;rich;no;may;rarely;low;no;
management;tertiary;middle;yes;nov;not;low;no;
retired;tertiary;enough;no;feb;not;low;no;
management;tertiary;less;yes;jul;not;low;no;
self-employed;tertiary;rich;no;may;rarely;low;no;
management;unknown;middle;no;apr;not;low;no;
blue-collar;secondary;enough;yes;may;rarely;low;no;
management;tertiary;middle;no;jul;rarely;low;no;
management;primary;rich;no;sep;rarely;half;yes;
admin;secondary;less;yes;may;not;low;no;
self-employed;tertiary;middle;no;may;rarely;low;no;
